iter	Logloss
0	0.6724182482
1	0.6536206256
2	0.6378350406
3	0.6239246653
4	0.6098592879
5	0.5975420466
6	0.5824539717
7	0.565023022
8	0.5548416976
9	0.5470175353
10	0.5379453525
11	0.5284541614
12	0.5172174775
13	0.5100977107
14	0.5042481817
15	0.4984537541
16	0.4914646386
17	0.4852984492
18	0.4808926709
19	0.4766972846
20	0.4721468533
21	0.4652589549
22	0.4605373133
23	0.4573969588
24	0.4521255839
25	0.4493907146
26	0.4382698827
27	0.4303056975
28	0.4242239597
29	0.4204547456
30	0.4168580517
31	0.4136408107
32	0.4104873565
33	0.4057433503
34	0.4030054737
35	0.3997331274
36	0.3966978392
37	0.3925150216
38	0.3897507107
39	0.3856905461
40	0.3837116626
41	0.3812102848
42	0.3790750572
43	0.3764766745
44	0.3738665573
45	0.3715918618
46	0.3683443535
47	0.3674953962
48	0.3652699222
49	0.3642046744
50	0.3628284968
51	0.360800456
52	0.3588919076
53	0.3557345887
54	0.3528130106
55	0.3485940186
56	0.3454105809
57	0.3424602092
58	0.339698436
59	0.3367792266
60	0.3358653093
61	0.333512463
62	0.3309299681
63	0.3301416923
64	0.329522249
65	0.3282208504
66	0.3251514325
67	0.3241252427
68	0.320282393
69	0.3154546445
70	0.3131126416
71	0.3117630563
72	0.3106704863
73	0.3093350852
74	0.3084568552
75	0.3060743993
76	0.3051624995
77	0.3040668605
78	0.30347024
79	0.302739803
80	0.301000941
81	0.2998538732
82	0.2966462178
83	0.2957097111
84	0.2933766376
85	0.2916804097
86	0.2897857191
87	0.2892340053
88	0.2875269676
89	0.2862344905
90	0.2843168769
91	0.2833870389
92	0.2829769398
93	0.2788131613
94	0.2773106614
95	0.2765350022
96	0.2755785681
97	0.2744535824
98	0.2725473583
99	0.272101902
100	0.271584301
101	0.2712778696
102	0.2695961041
103	0.2688642278
104	0.2662867043
105	0.2654781014
106	0.2641751729
107	0.2634415231
108	0.262426358
109	0.2609815215
110	0.2602921879
111	0.2591779857
112	0.2587452626
113	0.2574727853
