iter	Logloss
269	0.2761925459
270	0.2750503068
271	0.2742208612
272	0.2731074875
273	0.2722719854
274	0.2715721582
275	0.2709964725
276	0.2700405739
277	0.2691918689
278	0.268567849
279	0.2673756657
280	0.2666560771
281	0.2659850344
282	0.2651216818
283	0.264174586
284	0.2631937862
285	0.2626939907
286	0.2619606732
287	0.2612789948
288	0.2606223201
289	0.2596861332
290	0.2588495179
291	0.2580051159
292	0.2573422522
293	0.256188462
294	0.2553764597
295	0.2546050139
296	0.2538728367
297	0.2531070874
298	0.2523356487
299	0.2513849125
300	0.2507174172
301	0.2499290705
302	0.2493762434
303	0.248349834
304	0.2477254498
305	0.2467529371
306	0.2453805391
307	0.2447625093
308	0.2439917495
309	0.2433568209
310	0.2427809407
311	0.2419423691
312	0.2412098532
313	0.2401772634
314	0.2395491344
315	0.2389397378
316	0.2384517105
317	0.2378972478
318	0.2371581656
319	0.2364513662
320	0.2358000366
321	0.2355011932
322	0.2349955796
323	0.2346446214
324	0.2334266935
325	0.2326510074
326	0.2321817461
327	0.2315693765
328	0.2307328674
329	0.2299320766
330	0.2293194822
331	0.2283505318
332	0.2273481973
333	0.2264096891
334	0.2257312863
335	0.2254155641
336	0.2249820063
337	0.2244792002
338	0.2240215277
339	0.2237156753
340	0.2229935102
341	0.2225666932
342	0.2222664668
343	0.2214904194
344	0.2205857055
345	0.2201967911
346	0.2196369604
347	0.2191103455
348	0.2182023222
349	0.2173960749
350	0.2169877865
351	0.2166156827
352	0.216109214
353	0.2154338851
354	0.2149126206
355	0.2144894284
356	0.2140942592
357	0.2134612531
358	0.2131879337
359	0.2127361244
360	0.2122174645
361	0.2115640004
362	0.2111387799
363	0.2110545258
364	0.210599706
365	0.2098974736
366	0.209550226
367	0.2090125685
368	0.2085016692
369	0.2080725785
370	0.2077082866
371	0.2073237654
372	0.2069862766
373	0.2064115007
374	0.2060634192
375	0.2057658487
376	0.2050684966
377	0.2046726248
378	0.2042929205
379	0.2033448182
380	0.2028648269
381	0.2021841384
382	0.201983699
383	0.2011619843
384	0.2007123582
385	0.2002664508
386	0.1997656593
387	0.1993883169
388	0.1990049634
389	0.1986670035
390	0.1979353488
391	0.1974199513
392	0.1969186768
393	0.1964538002
394	0.1957573268
395	0.1951433386
396	0.1946393131
397	0.1943882735
398	0.1939911503
399	0.193704874
400	0.1930945416
401	0.1925625135
402	0.1922654042
403	0.191357188
404	0.1910131779
405	0.1908320484
406	0.1906735602
407	0.1903572019
408	0.1897510181
409	0.1893382106
410	0.1887157516
411	0.1882290402
412	0.1876030233
413	0.1872308099
414	0.1867284486
415	0.1864880326
416	0.1859584456
417	0.1855689862
418	0.1850067096
419	0.1846035199
420	0.1842932532
421	0.1837744047
422	0.1830656219
423	0.1827555786
424	0.1821306992
425	0.1816847867
426	0.1813628301
427	0.1808356262
428	0.1804971976
429	0.1802424924
430	0.1797906244
431	0.1795650358
432	0.1793327522
433	0.1791258344
434	0.178674977
435	0.1785254791
436	0.1778946173
437	0.1775527482
438	0.177087295
439	0.1767364683
440	0.1762136504
441	0.1758582361
442	0.1754298901
443	0.1750546189
444	0.1748657857
445	0.1745070498
446	0.1741662056
447	0.1737525719
448	0.1729759262
449	0.1725589323
450	0.1721129599
451	0.171563927
452	0.1710805536
453	0.171006214
454	0.1706412116
455	0.1701569682
456	0.1695819396
457	0.1693296258
458	0.1692356269
459	0.1688161267
460	0.1684925758
461	0.1679586927
462	0.1674936793
463	0.16697741
464	0.1666673617
465	0.1662712023
466	0.1660398381
467	0.1657655907
468	0.1652180316
469	0.1648669453
470	0.164526251
471	0.1644224035
472	0.1641192689
473	0.1637978122
474	0.1633737202
475	0.1629890474
476	0.162725033
477	0.1624619903
478	0.162324149
479	0.1619726561
480	0.1617091519
481	0.161501063
482	0.161266004
483	0.1606385886
484	0.1602590329
485	0.159821271
486	0.1594254824
487	0.1591556606
488	0.1588963642
489	0.1584967802
490	0.1580026025
491	0.1577291202
492	0.1573344085
493	0.1567943272
494	0.1564429067
495	0.1562774954
496	0.155996364
497	0.1555439525
498	0.155388309
499	0.1550248059
