iter	Logloss
0	0.6753182354
1	0.6576539262
2	0.6417026573
3	0.6282776941
4	0.6162618474
5	0.6016701537
6	0.5897493367
7	0.5781052972
8	0.5680641253
9	0.5587885761
10	0.551696126
11	0.5443588203
12	0.5367721618
13	0.5311132728
14	0.5248395927
15	0.5187781273
16	0.5137459485
17	0.5076324142
18	0.501736313
19	0.4979981905
20	0.4930115651
21	0.4894512155
22	0.4860447365
23	0.4827802063
24	0.4799917867
25	0.476388638
26	0.4739559369
27	0.4716786012
28	0.469177635
29	0.4669644444
30	0.4653602326
31	0.4639681962
32	0.461478544
33	0.4593516377
34	0.4575984408
35	0.4556064156
36	0.4532383378
37	0.4512202407
38	0.44889701
39	0.4468293342
40	0.4433707199
41	0.4415519887
42	0.4403006483
43	0.4393486783
44	0.4370637045
45	0.4362247237
46	0.4347270274
47	0.4331539299
48	0.4311986791
49	0.4292373985
50	0.4273368904
51	0.4262903854
52	0.4251834864
53	0.4237038477
54	0.4223086641
55	0.4211835469
56	0.4203250174
57	0.4197689596
58	0.4184525694
59	0.4176236661
60	0.4165095973
61	0.4156353918
62	0.4146656042
63	0.4141715702
64	0.4131964911
65	0.412603643
66	0.412174346
67	0.4114683022
68	0.4092636973
69	0.4082715191
70	0.4075259161
71	0.4066090654
72	0.4052162422
73	0.4043899069
74	0.4038524487
75	0.4019442529
76	0.4007351947
77	0.3999300146
78	0.3992749623
79	0.3984535741
80	0.397439008
81	0.3962955489
82	0.3955497892
83	0.395133509
84	0.3946268385
85	0.3941304117
86	0.3936069517
87	0.3933233513
88	0.3925923107
89	0.3920416196
90	0.3916089041
91	0.3911479707
92	0.3899426802
93	0.389582131
94	0.3893012237
95	0.3890427481
96	0.3885252603
97	0.3882164973
98	0.3869852384
99	0.386236969
100	0.3851550059
101	0.3847388522
102	0.3840039066
103	0.3832626107
104	0.382460375
105	0.3815905668
106	0.3799906942
107	0.3795694951
108	0.3793725069
109	0.3786764198
110	0.3783238593
111	0.3782697023
112	0.3774141876
113	0.3766200243
114	0.3762474406
115	0.3759685556
116	0.3751683878
117	0.374344768
118	0.3738025279
119	0.3735500473
120	0.3733062696
121	0.3727377146
122	0.3723913942
123	0.3721334191
124	0.3719453933
125	0.3713301065
126	0.3708032062
127	0.3704736826
128	0.3699360821
129	0.3698332035
130	0.3695783402
131	0.3694323612
132	0.3691155283
133	0.3683734944
134	0.3678065414
135	0.3671692005
136	0.367037703
137	0.3667149676
138	0.3666150664
139	0.3662265259
140	0.3660321931
141	0.3658882826
142	0.3655434943
143	0.3652666449
144	0.3647771903
145	0.3646826357
146	0.3637760438
147	0.3633596158
148	0.363151854
149	0.3621641516
150	0.3616793006
151	0.3613940313
152	0.3606348846
153	0.3601702752
154	0.3598820225
155	0.359583135
156	0.3593055455
157	0.3588046445
158	0.3584422303
159	0.356907682
160	0.3567230858
161	0.3560846215
162	0.3556927951
163	0.3549405231
164	0.3544416262
165	0.3542787046
166	0.3539561313
167	0.3537507026
168	0.3525642306
169	0.3520448954
170	0.3513675623
171	0.3511354869
172	0.350538666
173	0.3501469846
174	0.3498248948
175	0.3495740364
176	0.3491552657
177	0.3487429148
178	0.3481748408
179	0.3478462306
180	0.3476164378
181	0.3472564745
182	0.3468789831
183	0.3466646307
184	0.346047451
185	0.3454287314
186	0.3453231598
187	0.3451616953
188	0.3447863142
189	0.3438837035
190	0.3436206809
191	0.3430165733
192	0.3422010117
193	0.3417673451
194	0.3404880152
195	0.3397110536
196	0.3395170936
197	0.3392475653
198	0.3388102574
199	0.3385969273
200	0.3377870164
201	0.3371513624
202	0.3366664574
203	0.3357000047
204	0.335622588
205	0.3351581336
206	0.3339695155
207	0.3327384154
208	0.3321958002
209	0.3318815193
210	0.3315981319
211	0.3300768448
212	0.3299122084
213	0.32864585
214	0.3283067244
215	0.327840421
216	0.3271966972
217	0.3256352893
218	0.3248922728
219	0.3241050434
220	0.3231665315
221	0.3220060832
222	0.3209473624
223	0.3204199579
224	0.3197717075
225	0.3187978096
226	0.3179276361
227	0.3166746563
228	0.3159255522
229	0.3151202387
230	0.3142050715
231	0.3134798021
232	0.3120571243
233	0.3107981851
234	0.3106034223
235	0.3096372237
236	0.3089585074
237	0.307453367
238	0.3066329108
239	0.3058876552
240	0.3049845572
241	0.3042802429
242	0.303536894
243	0.3026851665
244	0.3007159704
245	0.2999405799
246	0.2991477708
247	0.2979620426
248	0.2971268126
249	0.2959809568
250	0.2953867656
251	0.2941419053
252	0.293455677
253	0.2925188106
254	0.2911309021
255	0.2900414344
256	0.2889013287
257	0.287614563
258	0.2866170999
259	0.2855817232
260	0.2848804494
261	0.284234749
262	0.2829123279
263	0.2819242493
264	0.2811418546
265	0.2799583765
266	0.2792031193
267	0.2782511489
268	0.2771452216
